,sig_pow,autocorr_sum,values_over_5v,values_under_3v
0,57699046739.04407,12181.649463238009,1.0,0.0
1,64318783606.70242,11382.683277788528,1.0,0.0
2,57699046739.04407,12181.649463238009,1.0,0.0
3,71507401991.10759,11146.633036281395,1.0,0.0
4,60979199444.46003,11838.571441635931,1.0,0.0
5,59182217569.701614,12198.641088604443,1.0,0.0
6,58595272471.74992,12161.305078522206,1.0,0.0
7,58595243681.09331,12161.293508878196,1.0,0.0
8,59122511673.77367,12183.249104885279,1.0,0.0
9,77936222613.55597,8133.308314001598,0.9950769230769231,0.004923076923076923
10,58713995049.47396,12185.474170661571,1.0,0.0
11,58469670325.66601,12191.579584015439,1.0,0.0
12,58060249088.53828,12182.869321023938,1.0,0.0
13,61847055846.18992,11525.38237842051,0.9996307692307692,0.0003692307692307692
14,71959588011.74661,10890.653560294562,1.0,0.0
15,57698413126.13531,12181.777763336253,1.0,0.0
16,62634873391.745636,12186.308907906187,1.0,0.0
17,58864154128.834274,12183.018104458595,1.0,0.0
18,63046903924.632965,12179.836461184648,1.0,0.0
19,58060746148.45892,12182.850471632055,1.0,0.0
20,57696804819.363655,12182.1220439743,1.0,0.0
21,57696855945.25644,12182.118097994822,1.0,0.0
22,58466703623.75575,12111.647055552048,0.9989538461538462,0.0010461538461538462
23,58724334072.943275,12185.715592943372,1.0,0.0
24,68086627606.414536,11073.651995589116,0.9998153846153847,0.0001846153846153846
25,62637583437.60671,12186.1929931818,1.0,0.0
26,63047023931.299034,12179.836949193239,1.0,0.0
27,59182059423.953064,12198.605547691093,1.0,0.0
28,59181822883.16281,12198.582195168856,1.0,0.0
29,50799703754.17749,10550.86251062672,0.8820923076923077,0.11790769230769231
30,76809772088.53793,8205.143522337528,0.9652923076923077,0.03470769230769231
31,62637576605.97011,12186.19295907452,1.0,0.0
32,58468967738.04908,12191.644986100313,1.0,0.0
33,63046963119.97158,12179.835948966107,1.0,0.0
34,59182059423.953064,12198.605547691093,1.0,0.0
35,69472191400.40346,11284.600634619748,1.0,0.0
36,58723932083.74509,12185.751970158633,1.0,0.0
37,64485733629.34814,11972.937824589888,0.9998153846153847,0.0001846153846153846
38,58864073835.02208,12183.012212012487,1.0,0.0
39,62637576749.54849,12186.192956573832,1.0,0.0
40,58724128381.07222,12185.73402673646,1.0,0.0
41,58224331117.06025,12164.50022585189,1.0,0.0
